year,distance,speed,index,,,,
2015,9.148,12.944,380,,,,
2015,10.007,13.738,381,,,,
2015,5.668,7.615,382,,,,
2015,16.047,12.063,383,,,,
2015,8.198,13.583,384,,,,
2015,8.473,12.091,385,,,,
2014,2.612,12.678,386,,,,
2014,12.004,11.771,387,,,,
2014,14.051,12.293,388,,,,
2014,7.01,13.405,389,,,,
2014,8.139,13.471,390,,,,
2014,14.01,12.545,391,,,,
2014,6.029,13.629,392,,,,
2014,8.014,12.754,393,,,,
2014,10.009,12.664,394,,,,
2014,8.05,11.962,395,,,,
2014,6.172,12.841,396,,,,
2014,10.016,12.883,397,,,,
2014,6.018,11.812,398,,,,
2014,10.44,13.043,399,,,,
2014,8.341,12.902,400,,,,
2014,12.542,13.026,401,,,,
2014,8.239,12.931,402,,,,
2014,12.027,12.422,403,,,,
2014,7.382,12.471,404,,,,
2014,2.607,13.787,405,,,,
2014,10.014,12.204,406,,,,
2014,10.074,12.575,407,,,,
2014,8.59,12.074,408,,,,
2014,12.293,12.657,409,,,,
2014,10.488,12.48,410,,,,
2014,8.215,12.28,411,,,,
2014,10.455,11.983,412,,,,
2014,7.739,11.473,413,,,,
2014,10.366,11.7,414,,,,
2014,7.78,11.122,415,,,,
2014,8.48,12.105,416,,,,
2014,6.456,8.672,417,,,,
2014,8.033,11.92,418,,,,
2014,6.118,11.764,419,,,,
2014,8.022,11.486,420,,,,
2014,7.789,9.916,421,,,,
2014,7.614,10.672,422,,,,
2014,4.583,11.059,423,,,,
2014,10.791,11.549,424,,,,
2014,6.785,11.976,425,,,,
2014,7.494,8.694,426,,,,
2014,11.168,11.166,427,,,,
2014,8.186,9.32,428,,,,
2014,21.295,10.363,429,,,,
2014,7.381,11.067,430,,,,
2014,14.347,10.36,431,,,,
2014,12.868,9.625,432,,,,
2014,7.086,11.826,433,,,,
2014,8.416,12.172,434,,,,
2014,11.48,11.371,435,,,,
2014,7.511,7.314,436,,,,
2014,6.662,11.174,437,,,,
2014,5.879,11.328,438,,,,
2014,7.841,11.739,439,,,,
2014,9.106,11.096,440,,,,
2014,10.541,10.528,441,,,,
2014,5.569,9.717,442,,,,
2014,3.079,13.252,443,,,,
2014,6.391,9.437,444,,,,
2013,7.773,10.708,445,,,,
